Mot|Phrase|Catégorie|Traduction en français
wage|They work hard to earn a fair wage.|Nom masculin|salaire
wait|They will wait patiently for their turn.|Verbe|attendre
wake|They wake up early to enjoy the sunrise.|Verbe|se réveiller
walk|They prefer to walk and enjoy the fresh air.|Verbe|marcher
wall|The wall of the house needs a fresh coat of paint.|Nom féminin|mur
wander|They like to wander through the streets of the city.|Verbe|errer
want|They want to pursue their dreams and goals.|Verbe|vouloir
war|War has lasting consequences for nations.|Nom féminin|guerre
warm|The warm weather is perfect for outdoor activities.|Adjectif|chaleureux
warn|They will warn others about the potential danger.|Verbe|avertir
warning|The warning sign indicates a hazardous area.|Nom masculin|avertissement
wash|They will wash their hands before dinner.|Verbe|laver
waste|They don't want to waste food; they appreciate it.|Verbe|gaspiller
watch|They watch the sunset by the beach.|Verbe|regarder
water|Water is essential for life.|Nom masculin|eau
wave|They waved to their friends from a distance.|Verbe|saluer
way|They choose to live life in their own way.|Nom masculin|manière
we|We are a team and work together to achieve our goals.|Pronom|nous
weak|The weak bridge is not safe to cross.|Adjectif|faible
wealth|Wealth is not only about money but also about happiness.|Nom masculin|richesse
wealthy|The wealthy family lives in a mansion.|Adjectif|riche
weapon|The weapon is carefully stored in a secure place.|Nom masculin|arme
wear|They will wear a suit to the formal event.|Verbe|porter
weather|The weather forecast predicts rain tomorrow.|Nom masculin|météo
web|They use the web for research and communication.|Nom masculin|toile
website|The website provides information and resources.|Nom masculin|site web
wedding|The wedding ceremony was a beautiful celebration.|Nom masculin|mariage
week|They are looking forward to the weekend.|Nom masculin|semaine
weekend|The weekend is a time to relax and have fun.|Nom masculin|week-end
weekly|They meet weekly to discuss their progress.|Adjectif|hebdomadaire
weigh|They will weigh the ingredients for the recipe.|Verbe|peser
weight|The weight of the object determines its mass.|Nom masculin|poids
welcome|They will welcome new members to the group.|Verbe|accueillir
welfare|The welfare of the community is a top priority.|Nom féminin|bien-être
well|They wish you well in all your endeavors.|Adverbe|bien
well|The water from the well is fresh and clean.|Nom masculin|puits
west|The west side of the building gets the most sunlight.|Nom masculin|ouest
western|Western countries often have democratic governments.|Adjectif|occidental
wet|They got caught in the rain and are soaking wet.|Adjectif|mouillé
what|What is the name of the author of the book?|Pronom|quoi
whatever|You can choose whatever you like from the menu.|Pronom|peu importe
wheel|The wheel of the bicycle needs some air.|Nom masculin|roue
when|When is the best time to call you?|Conjonction|quand
whenever|You can visit us whenever you are in town.|Conjonction|chaque fois que
where|Where did you find this rare flower?|Adverbe|où
wherever|You can sit wherever you like in the classroom.|Adverbe|où que
whether|Whether we go or not depends on the weather.|Conjonction|que
which|Which book would you like to read first?|Pronom|quel
while|They can relax while listening to music.|Conjonction|pendant que
whisper|They like to whisper secrets to each other.|Verbe|murmurer
white|The room is painted in a bright white color.|Adjectif|blanc
who|Who is the new employee in the office?|Pronom|qui
whole|The whole family gathered for the holiday.|Adjectif|entier
whom|To whom should I address this letter?|Pronom|à qui
whose|Whose backpack is this?|Pronom|à qui
why|Why did you choose this career path?|Adverbe|pourquoi
wide|The wide river flows through the valley.|Adjectif|large
widely|The idea was widely accepted by the team.|Adverbe|largement
wife|His wife is a supportive and loving partner.|Nom féminin|femme
wild|The wild forest is home to many animals.|Adjectif|sauvage
will|They will complete the project on time.|Verbe|volonté
win|They want to win the game and take the trophy home.|Verbe|gagner
wind|The wind is gentle and cool on a summer day.|Nom masculin|vent
window|They opened the window to let in fresh air.|Nom masculin|fenêtre
wine|They enjoy a glass of red wine with dinner.|Nom masculin|vin
wing|The bird spread its wing and flew away.|Nom féminin|aile
winner|The winner of the race celebrated with joy.|Nom masculin|gagnant
winter|The season of winter brings cold and snow.|Nom masculin|hiver
wipe|They used a cloth to wipe the table clean.|Verbe|essuyer
wire|They need a wire to fix the broken fence.|Nom féminin|fil
wise|They seek advice from wise elders in the community.|Adjectif|sage
wish|They make a wish upon a shooting star.|Verbe|souhaiter
with|They will travel with their friends to the concert.|Préposition|avec
withdraw|They can withdraw money from the ATM.|Verbe|retirer
within|The answer lies within yourself.|Préposition|à l'intérieur de
without|They prefer coffee without sugar.|Préposition|sans
witness|They are a witness to the accident.|Nom masculin|témoin
woman|The woman is a talented artist.|Nom féminin|femme
wonder|They wonder about the mysteries of the universe.|Verbe|se demander
wonderful|The vacation was a wonderful experience.|Adjectif|magnifique
wood|The table is made of solid wood.|Nom masculin|bois
wooden|The wooden house has a rustic charm.|Adjectif|en bois
word|They choose their words carefully when speaking.|Nom masculin|mot
work|They work hard to achieve their goals.|Verbe|travailler
worker|The worker is skilled in carpentry.|Nom masculin|travailleur
working|Working together as a team is effective.|Adjectif|travail
world|The world is a diverse and complex place.|Nom masculin|monde
worried|They are worried about their upcoming exams.|Adjectif|inquiet
worry|They worry about the safety of their loved ones.|Verbe|s'inquiéter
worth|The antique watch is worth a lot of money.|Adjectif|valeur
would|They would like to join the club.|Modal|souhaiter
wound|The wound on their arm needed medical attention.|Nom masculin|blessure
wrap|They will wrap the gift in colorful paper.|Verbe|emballer
write|They write in their journal every day.|Verbe|écrire
writer|The writer is known for their captivating stories.|Nom masculin|écrivain
writing|Writing is a form of self-expression.|Nom féminin|écriture
wrong|It's wrong to judge someone based on appearance.|Adjectif|incorrect
yard|The yard is filled with colorful flowers.|Nom masculin|cour
yeah|Yeah, I'd love to join you for dinner.|Interjection|oui
year|They celebrate their anniversary every year.|Nom masculin|an
yell|They didn't mean to yell; it was out of frustration.|Verbe|crier
yellow|The yellow flowers brighten up the garden.|Adjectif|jaune
yes|Yes, I will attend the meeting.|Interjection|oui
yesterday|They visited the museum yesterday.|Adverbe|hier
yet|They haven't finished the project yet.|Adverbe|encore
you|You are a valuable member of our team.|Pronom|tu
young|The young bird is learning to fly.|Adjectif|jeune
your|Your support means a lot to us.|Déterminant|ton
yours|The book is yours; you can keep it.|Pronom|le tien
yourself|Take care of yourself; your health is important.|Pronom|toi-même
youth|The youth of today are the leaders of tomorrow.|Nom masculin|jeunesse
zone|The construction zone is marked with caution signs.|Nom féminin|zone
zoo|They went to the zoo to see the animals.|Nom masculin|zoo
admission|Her admission to the university was a dream come true.|Nom féminin|admission
almost|They almost reached the summit of the mountain.|Adverbe|presque
fact|The fact is that the Earth orbits the Sun.|Nom masculin|fait
factor|The factor influencing their decision was cost.|Nom masculin|facteur
factory|The factory produces cars on a massive scale.|Nom féminin|usine
faculty|The faculty members are dedicated to teaching.|Nom féminin|corps professoral
fade|The colors of the sunset began to fade.|Verbe|s'estomper
fail|They didn't want to fail the exam, so they studied hard.|Verbe|échouer
failure|Failure is often a stepping stone to success.|Nom masculin|échec
fair|The fair provided entertainment for all ages.|Nom masculin|foire
fairly|They were treated fairly in the workplace.|Adverbe|équitablement
faith|Their faith in each other was unshakable.|Nom féminin|foi
fall|The leaves fall from the trees in autumn.|Verbe|tomber
false|The statement they made was false and misleading.|Adjectif|faux
familiar|The house felt familiar, like a home from their childhood.|Adjectif|familier
family|Family is important to them, and they cherish their time together.|Nom féminin|famille
famous|The actor became famous after their breakthrough role.|Adjectif|célèbre
fan|They are a dedicated fan of that sports team.|Nom masculin|fan
fantasy|The novel is a fantasy filled with magical creatures.|Nom masculin|fantaisie
far|They traveled far to explore new places.|Adverbe|loin
farm|The farm produces fresh fruits and vegetables.|Nom masculin|ferme
farmer|The farmer works hard to cultivate the land.|Nom masculin|fermier
fashion|They have a keen interest in fashion and design.|Nom féminin|mode
fast|They run fast in track and field competitions.|Adjectif|rapide
fat|They are trying to reduce their intake of unhealthy fats.|Adjectif|gras
fate|Their fate was sealed when they found the ancient treasure.|Nom masculin|destin
father|Their father is a loving and caring parent.|Nom masculin|père
fault|They took responsibility for their fault in the accident.|Nom masculin|faute
favor|They asked for a favor from their friend.|Nom masculin|faveur
favorite|Chocolate is their favorite dessert.|Adjectif|préféré
fear|Their fear of heights makes them avoid tall buildings.|Nom féminin|peur
feature|The main feature of the phone is its camera quality.|Nom masculin|caractéristique
federal|Federal laws apply to the entire country.|Adjectif|fédéral
fee|They paid the admission fee to enter the park.|Nom féminin|frais
feed|They feed the birds in their backyard.|Verbe|nourrir
feel|They feel content and satisfied with their life.|Verbe|ressentir
feeling|Love is a deep and complex feeling.|Nom masculin|sentiment
fellow|They get along well with their fellow students.|Nom masculin|camarade
female|The female lion is the pride's leader.|Adjectif|féminin
fence|The wooden fence surrounds the garden.|Nom féminin|clôture
few|They have a few close friends they can rely on.|Adjectif|quelques
fewer|There are fewer students in the class this year.|Adjectif|moins
fiber|Fiber-rich foods are good for digestion.|Nom masculin|fibres
fiction|They enjoy reading science fiction novels.|Nom féminin|fiction
field|The soccer field is where they practice every day.|Nom masculin|terrain
fifteen|They turned fifteen years old this week.|Nombre|quinze
fifth|They were in the fifth grade when they met their best friend.|Adjectif|cinquième
fifty|They celebrated their fiftieth anniversary with a grand party.|Nombre|cinquante
fight|They never back down from a fight for justice.|Verbe|se battre
fighter|The boxer is a fierce and skilled fighter.|Nom masculin|combattant
fighting|Fighting for a cause they believe in is their passion.|Nom masculin|combat
figure|The figure in the painting was mysterious and captivating.|Nom masculin|figure
file|They organized their documents in a file cabinet.|Nom masculin|dossier
fill|They fill their cup with hot coffee in the morning.|Verbe|remplir
film|They watched a film at the cinema last night.|Nom masculin|film
final|The final chapter of the book had a surprising twist.|Adjectif|final
finally|Finally, they achieved their long-awaited goal.|Adverbe|enfin
finance|They work in the finance department of the company.|Nom féminin|finance
financial|The financial report shows the company's profits.|Adjectif|financier
find|They will find the missing keys in no time.|Verbe|trouver
finding|The scientific finding was groundbreaking.|Nom masculin|découverte
fine|The weather is fine, perfect for an outdoor picnic.|Adjectif|beau
finger|They point at things with their index finger.|Nom masculin|doigt
finish|They finish their homework before dinner.|Verbe|terminer
fire|The campfire provides warmth and light in the evening.|Nom féminin|feu
firm|The law firm has a reputation for excellence.|Nom masculin|cabinet
first|They were the first to arrive at the party.|Adjectif|premier
fish|They like to fish at the lake on weekends.|Nom masculin|poisson
fishing|Fishing is their favorite hobby.|Nom féminin|pêche
fit|The dress doesn't fit them anymore.|Verbe|aller (taille)
fitness|They prioritize fitness and health in their lifestyle.|Nom féminin|forme physique
five|They have five fingers on each hand.|Nombre|cinq
fix|They can fix the broken chair with some glue.|Verbe|réparer
flag|The national flag represents the country's identity.|Nom masculin|drapeau
flame|The flame of the candle flickered in the breeze.|Nom féminin|flamme
flat|Their new apartment is on the top floor of the flat.|Adjectif|plat
flavor|The flavor of the soup is rich and savory.|Nom masculin|saveur
flee|They had to flee the dangerous situation.|Verbe|fuir
flesh|The knife cut through the flesh of the fruit.|Nom féminin|chair
flight|The flight to their dream destination is booked.|Nom masculin|vol
float|The colorful balloons float in the sky during the parade.|Verbe|flotter
floor|The floor of the room is made of hardwood.|Nom féminin|sol
flow|The river's flow is steady and serene.|Nom féminin|flux
flower|They received a bouquet of beautiful flowers.|Nom féminin|fleur
fly|They can fly a kite on a windy day at the park.|Verbe|voler
focus|They need to focus on their work to meet the deadline.|Nom masculin|concentration
folk|Folk music reflects the culture and history of a region.|Nom masculin|musique folk
follow|They will follow the instructions carefully.|Verbe|suivre
following|The following steps are essential for success.|Adjectif|suivant
food|They love trying different types of food.|Nom masculin|nourriture
foot|Their footprints left a trail in the sand.|Nom masculin|pied
football|They play football with their friends every Sunday.|Nom masculin|football
for|They went for a walk in the park.|Préposition|pour
force|They used their strength and force to lift the heavy object.|Nom féminin|force
foreign|Learning a foreign language is a rewarding experience.|Adjectif|étranger
forest|They go camping in the forest during the summer.|Nom féminin|forêt
forever|Their love will last forever.|Adverbe|pour toujours
forget|They didn't forget to wish their friend a happy birthday.|Verbe|oublier
form|The form needs to be filled out completely.|Nom féminin|formulaire
formal|The formal event requires elegant attire.|Adjectif|formel
formation|Their formation as a team was flawless.|Nom féminin|formation
former|The former employee had years of experience.|Adjectif|ancien
formula|They followed a secret formula for the sauce.|Nom féminin|formule
forth|They marched forth with determination.|Adverbe|en avant
fortune|They built their fortune through hard work.|Nom féminin|fortune
forward|They always look forward to new adventures.|Adverbe|en avant
found|They found a hidden treasure in the cave.|Verbe|trouver
foundation|The foundation of the building is strong.|Nom féminin|fondation
founder|The founder of the company had a vision.|Nom masculin|fondateur
four|They have four children in their family.|Nombre|quatre
fourth|They finished in the fourth position in the race.|Adjectif|quatrième
frame|The picture frame holds a special memory.|Nom masculin|cadre
framework|The framework for the project was well-defined.|Nom masculin|cadre
free|They believe in free expression of ideas.|Adjectif|libre
freedom|Freedom is a fundamental human right.|Nom masculin|liberté
freeze|The water will freeze if it gets cold enough.|Verbe|geler
French|They enjoy learning the French language.|Adjectif|français
frequency|The frequency of their meetings increased.|Nom féminin|fréquence
frequent|They make frequent trips to the city.|Adjectif|fréquent
frequently|They frequently visit their grandparents.|Adverbe|fréquemment
fresh|The salad is made with fresh ingredients.|Adjectif|frais
friend|They cherish their friend's companionship.|Nom masculin|ami
friendly|They are known for their friendly disposition.|Adjectif|amical
friendship|Their friendship has stood the test of time.|Nom féminin|amitié
from|They traveled from one city to another.|Préposition|de
front|They stood at the front of the line.|Nom masculin|avant
fruit|The fruit is ripe and ready to eat.|Nom masculin|fruit
frustration|Their frustration grew as the project stalled.|Nom féminin|frustration
fuel|Gasoline is the fuel for most vehicles.|Nom masculin|carburant
full|The glass is full of refreshing lemonade.|Adjectif|plein
fully|They are fully committed to the project.|Adverbe|entièrement
fun|Having fun is an essential part of life.|Nom masculin|amusement
function|The function of the heart is to pump blood.|Nom féminin|fonction
fund|They set up a fund to help those in need.|Nom masculin|fonds
fundamental|The fundamental principles of democracy are crucial.|Adjectif|fondamental
funding|The funding for the project is secured.|Nom féminin|financement
funeral|The funeral was a somber and emotional occasion.|Nom masculin|funérailles
funny|They enjoy a good laugh and funny jokes.|Adjectif|drôle
furniture|The furniture in the room is stylish and modern.|Nom masculin|meubles
furthermore|Furthermore, they have additional information to share.|Adverbe|de plus
future|The future holds endless possibilities.|Nom masculin|avenir
gain|They will gain valuable experience from this job.|Nom masculin|gain
galaxy|The Milky Way is a galaxy in the universe.|Nom féminin|galaxie
gallery|The art gallery displayed stunning paintings.|Nom féminin|galerie
game|They love playing video games in their free time.|Nom masculin|jeu
gang|The gang was involved in criminal activities.|Nom masculin|gang
gap|There is a generation gap between them.|Nom masculin|écart
garage|They store their tools in the garage.|Nom masculin|garage
garden|The garden is filled with colorful flowers.|Nom masculin|jardin
garlic|Garlic adds flavor to many dishes.|Nom masculin|ail
gas|They filled the car's tank with gas.|Nom masculin|essence
gate|The gate is the entrance to the estate.|Nom masculin|porte
gather|They gather with friends for special occasions.|Verbe|se rassembler
gay|They are proud to support their gay friends.|Adjectif|gay
gaze|They gazed at the stars in the night sky.|Verbe|contempler
gear|They packed camping gear for the trip.|Nom masculin|équipement
gender|Gender equality is an important social issue.|Nom masculin|genre
gene|Genes determine hereditary traits.|Nom masculin|gène
general|The general consensus was to proceed.|Adjectif|général
generally|They generally prefer healthy food choices.|Adverbe|généralement
generate|They can generate electricity from solar panels.|Verbe|générer
generation|The younger generation is tech-savvy.|Nom féminin|génération
genetic|Genetic research has made great advancements.|Adjectif|génétique
gentleman|He is a true gentleman with excellent manners.|Nom masculin|gentleman
gently|They closed the door gently to avoid noise.|Adverbe|délicatement
German|They admire German culture and traditions.|Adjectif|allemand
gesture|A simple gesture can convey a lot of meaning.|Nom masculin|geste
get|They will get the job done on time.|Verbe|obtenir
ghost|They enjoy reading stories about ghosts and spirits.|Nom masculin|fantôme
giant|The giant tree in the forest was impressive.|Nom masculin|géant
gift|They received a thoughtful gift on their birthday.|Nom masculin|cadeau
gifted|The child is gifted in music and art.|Adjectif|doué
girl|The little girl played with her toys.|Nom féminin|fille
girlfriend|Their girlfriend is supportive and caring.|Nom féminin|petite amie
give|They love to give back to their community.|Verbe|donner
given|Given the circumstances, they had to adapt quickly.|Adjectif|vu
glad|They were glad to see their friends again.|Adjectif|content
glance|They exchanged a quick glance during the meeting.|Nom masculin|coup d'œil
glass|The glass shattered when it fell on the floor.|Nom masculin|verre
global|Global warming is a major environmental issue.|Adjectif|mondial
glove|They wore gloves to protect their hands from the cold.|Nom féminin|gant
go|They love to go on adventures and explore new places.|Verbe|aller
goal|Their primary goal is to achieve success.|Nom masculin|objectif
God|They believe in the existence of God.|Nom masculin|Dieu
gold|The medal is made of pure gold.|Nom masculin|or
golden|The sunset cast a golden hue over the ocean.|Adjectif|doré
golf|They enjoy playing golf on weekends.|Nom masculin|golf
good|They always strive to do good and help others.|Adjectif|bon
government|The government is responsible for public policies.|Nom masculin|gouvernement
governor|The governor addressed the state's issues.|Nom masculin|gouverneur
grab|They need to grab some groceries from the store.|Verbe|attraper
grade|Their hard work earned them a top-grade in the class.|Nom masculin|note
gradually|They will gradually improve their skills over time.|Adverbe|progressivement
graduate|They will graduate from university next year.|Verbe|diplômé
grain|The grain is a staple food in many cultures.|Nom masculin|grain
grand|Their grand plans for the future excite them.|Adjectif|grand
grandfather|Their grandfather tells fascinating stories.|Nom masculin|grand-père
grandmother|Their grandmother bakes delicious cookies.|Nom féminin|grand-mère
grant|They received a grant for their research project.|Nom masculin|subvention
grass|The grass in the park is lush and green.|Nom masculin|herbe
grave|They visited the grave of a loved one.|Nom masculin|tombe
gray|The gray sky signaled the arrival of a storm.|Adjectif|gris
great|They have a great sense of humor.|Adjectif|formidable
greatest|Their greatest achievement was winning the championship.|Adjectif|plus grand
green|The green landscape is a sight to behold.|Adjectif|vert
grocery|They need to buy groceries for the week.|Nom masculin|épicerie
ground|The ground was covered in a blanket of snow.|Nom masculin|sol
group|They are part of a close-knit group of friends.|Nom masculin|groupe
grow|They want to grow their own vegetables.|Verbe|grandir
growing|The city's growing population demands more resources.|Adjectif|croissant
growth|The economic growth of the country is impressive.|Nom féminin|croissance
guarantee|They offer a money-back guarantee for their products.|Nom féminin|garantie
guard|The security guard watches over the premises.|Nom masculin|gardien
guess|Can you guess the answer to the riddle?|Verbe|deviner
guest|They welcomed the guest with open arms.|Nom masculin|invité
guide|The tour guide provided valuable information.|Nom masculin|guide
guideline|They followed the guideline for safety.|Nom féminin|directive
guilty|The guilty verdict was a relief for the victim.|Adjectif|coupable
gun|They heard a gunshot in the distance.|Nom masculin|arme à feu
guy|The guy they met at the party was friendly.|Nom masculin|gars
habit|Waking up early became a habit for them.|Nom masculin|habitude
habitat|The habitat of the panda is the bamboo forest.|Nom masculin|habitat
hair|They had long, flowing hair.|Nom féminin|cheveux
half|They ate half of the pizza.|Nom masculin|moitié
hall|The grand hall was filled with guests.|Nom masculin|salle
hand|They reached out a hand to help.|Nom féminin|main
handful|They grabbed a handful of candies.|Nom masculin|poignée
handle|The handle on the door was broken.|Nom masculin|poignée
hang|They decided to hang the painting on the wall.|Verbe|suspendre
happen|What will happen in the next chapter?|Verbe|se passer
happy|They felt happy after a long day of fun.|Adjectif|heureux
hard|They worked hard to achieve their goals.|Adjectif|dur
hardly|They could hardly believe their luck.|Adverbe|à peine
hat|They wore a hat to protect themselves from the sun.|Nom féminin|chapeau
hate|They do not hate anyone; they believe in love.|Verbe|détester
have|They have many friends and loved ones.|Verbe|avoir
he|He is their best friend and confidant.|Pronom|il
head|They turned their head to see what was happening.|Nom masculin|tête
headline|The headline of the newspaper was shocking.|Nom masculin|manchette
headquarters|The company's headquarters are in a prime location.|Nom masculin|siège social
health|They prioritize their health and well-being.|Nom féminin|santé
healthy|Eating fruits and vegetables keeps them healthy.|Adjectif|en bonne santé
hear|They could hear the birds singing in the morning.|Verbe|entendre
hearing|Their hearing is sensitive, and they enjoy music.|Nom féminin|ouïe
heart|Their heart was filled with love and compassion.|Nom masculin|cœur
heat|The heat of summer can be overwhelming.|Nom féminin|chaleur
heaven|They believe in the concept of heaven.|Nom masculin|paradis
heavily|The rain fell heavily, drenching everything.|Adverbe|fortement
heavy|The suitcase was heavy and hard to carry.|Adjectif|lourd
heel|Her heel got stuck in a crack in the pavement.|Nom féminin|talon
height|They were impressed by the height of the mountain.|Nom masculin|hauteur
helicopter|They took a helicopter tour of the city.|Nom masculin|hélicoptère
hell|The hike up the mountain felt like a journey to hell.|Nom masculin|enfer
hello|They greeted each other with a warm hello.|Interjection|bonjour
help|They offered their help to those in need.|Nom masculin|aide
helpful|Their advice was helpful in solving the problem.|Adjectif|utile
her|They admire her for her intelligence and kindness.|Pronom|elle
here|They are here to support their friends.|Adverbe|ici
heritage|They are proud of their cultural heritage.|Nom masculin|patrimoine
hero|They consider their parents as heroes.|Nom masculin|héros
herself|She is learning to love and care for herself.|Pronom réfléchi|elle-même
hey|They called out, "Hey, how's it going?"|Interjection|hé
hi|They said, "Hi," with a friendly smile.|Interjection|salut
hide|They like to play hide and seek with their friends.|Verbe|cacher
high|The skyscraper is so high that it touches the sky.|Adjectif|élevé
highlight|The highlight of the trip was the beautiful sunset.|Nom masculin|moment fort
highly|They value education highly and work hard for it.|Adverbe|grandement
highway|They drove on the highway to reach their destination.|Nom masculin|autoroute
hill|The hill provided a scenic view of the city.|Nom masculin|colline
him|They consider him to be their mentor and guide.|Pronom|lui
himself|He taught himself to play the guitar.|Pronom réfléchi|lui-même
hip|They enjoy dancing to the beat of hip-hop music.|Nom féminin|hanche
hire|They decided to hire a professional for the job.|Verbe|embaucher
his|They admire his dedication and hard work.|Adjectif|son
historian|The historian provided insights into the past.|Nom masculin|historien
historic|The town's historic district is a tourist attraction.|Adjectif|historique
historical|The book offered a historical account of the era.|Adjectif|historique
history|They have a passion for history and its stories.|Nom féminin|histoire
hit|The song became a hit and played on the radio.|Nom masculin|succès
hold|They hold each other's hands in times of need.|Verbe|tenir
hole|They dug a hole to plant a tree in the garden.|Nom masculin|trou
holiday|They planned a holiday trip to a tropical island.|Nom féminin|vacances
holy|The temple is a place of holy worship.|Adjectif|saint
home|They feel at home when surrounded by loved ones.|Nom féminin|foyer
homeless|They volunteer to help homeless individuals.|Adjectif|sans-abri
honest|They value honest and open communication.|Adjectif|honnête
honey|They like to add honey to their tea.|Nom féminin|miel
honor|They were honored for their contributions to society.|Nom masculin|honneur
hope|They have hope for a better tomorrow.|Nom masculin|espoir
horizon|The sunset painted colors on the horizon.|Nom masculin|horizon
horror|They enjoy watching horror movies.|Nom masculin|horreur
horse|They went for a ride on a horse at the ranch.|Nom masculin|cheval
hospital|They visited their friend at the hospital.|Nom masculin|hôpital
host|They are the host of a weekly radio show.|Nom masculin|animateur
hot|The weather was hot, and they sought shade.|Adjectif|chaud
hotel|They stayed at a luxurious hotel during the trip.|Nom masculin|hôtel
hour|They spent an hour at the museum.|Nom féminin|heure
house|They built a new house with a garden.|Nom féminin|maison
household|They manage the household chores together.|Nom masculin|ménage
housing|The government is working to improve housing conditions.|Nom féminin|logement
how|They asked, "How can we help you?"|Adverbe|comment
however|They love the weather; however, they miss home.|Adverbe|cependant
huge|The elephant is a huge and majestic animal.|Adjectif|énorme
human|They believe in the power of human kindness.|Nom masculin|être humain
humor|They appreciate a good sense of humor.|Nom masculin|humour
hundred|They have a hundred reasons to smile.|Nombre|cent
hungry|They are hungry and craving a delicious meal.|Adjectif|affamé
hunter|The hunter patiently waited for his prey.|Nom masculin|chasseur
hunting|They enjoy hunting and spending time in nature.|Nom masculin|chasse
hurt|They didn't mean to hurt anyone's feelings.|Verbe|blesser
husband|They have been happily married to their husband for years.|Nom masculin|mari
hypothesis|Their scientific hypothesis led to groundbreaking discoveries.|Nom masculin|hypothèse
I|They said, "I am ready for the challenge."|Pronom|je
ice|They like their drinks with lots of ice.|Nom masculin|glace
idea|They had a brilliant idea for a new project.|Nom féminin|idée
ideal|Their vacation spot is the ideal beach destination.|Adjectif|idéal
identification|They checked their identification before boarding.|Nom féminin|identification
identify|They can easily identify different bird species.|Verbe|identifier
identity|They embrace their cultural identity with pride.|Nom féminin|identité
ie|They used the abbreviation "i.e." in their research paper.|Abréviation|c'est-à-dire
if|If you have any questions, feel free to ask.|Conjonction|si
ignore|They chose to ignore the negative comments.|Verbe|ignorer
ill|They hope their friend recovers from being ill soon.|Adjectif|malade
illegal|They know that illegal activities are not tolerated.|Adjectif|illégal
illness|They overcame a serious illness with determination.|Nom féminin|maladie
illustrate|They used images to illustrate their presentation.|Verbe|illustrer
image|The image captured a beautiful moment.|Nom féminin|image
imagination|Their imagination knows no bounds.|Nom féminin|imagination
imagine|They can imagine a world filled with peace.|Verbe|imaginer
immediate|They took immediate action in an emergency.|Adjectif|immédiat
immediately|They left for the airport immediately after the call.|Adverbe|immédiatement
immigrant|They are proud of their immigrant heritage.|Nom masculin|immigrant
immigration|They discussed the immigration policies.|Nom féminin|immigration
impact|Their actions had a positive impact on the community.|Nom masculin|impact
implement|They plan to implement new strategies.|Verbe|mettre en œuvre
implication|The implication of their decision was clear.|Nom féminin|conséquence
imply|They didn't mean to imply any wrongdoing.|Verbe|suggérer
importance|They emphasized the importance of education.|Nom féminin|importance
important|They consider their family to be very important.|Adjectif|important
impose|They did not want to impose their views on others.|Verbe|imposer
impossible|They believed that nothing is impossible.|Adjectif|impossible
impress|Their dedication and hard work impress everyone.|Verbe|impressionner
impression|Their artwork left a lasting impression on viewers.|Nom féminin|impression
impressive|The architecture of the building is impressive.|Adjectif|impressionnant
improve|They strive to improve their skills every day.|Verbe|améliorer
improvement|They made a significant improvement in their performance.|Nom féminin|amélioration
in|They found a key in the drawer.|Préposition|dans
incentive|The reward was a great incentive for hard work.|Nom masculin|incitation
incident|They reported the incident to the authorities.|Nom masculin|incident
include|They decided to include a variety of dishes in the menu.|Verbe|inclure
including|They invite everyone, including their friends.|Préposition|y compris
income|They worked hard to increase their income.|Nom masculin|revenu
incorporate|They wanted to incorporate sustainability in their business.|Verbe|intégrer
increase|They plan to increase the number of volunteers.|Verbe|augmenter
increased|They noticed an increased interest in their project.|Adjectif|augmenté
increasing|They are facing increasing pressure at work.|Adjectif|croissant
increasingly|They are becoming increasingly aware of the issue.|Adverbe|de plus en plus
incredible|The view from the top of the mountain is incredible.|Adjectif|incroyable
indeed|They said, "Indeed, it is a remarkable achievement."|Adverbe|en effet
independence|They fought for their country's independence.|Nom féminin|indépendance
independent|They are proud to be independent thinkers.|Adjectif|indépendant
index|They looked up the word in the index.|Nom masculin|index
Indian|They enjoy Indian cuisine.|Adjectif|indien
indicate|The signs indicate the direction to the beach.|Verbe|indiquer
indication|The doctor gave them an indication of recovery.|Nom féminin|indication
individual|They believe in the power of the individual.|Nom masculin|individu
industrial|The area has a mix of residential and industrial zones.|Adjectif|industriel
industry|They work in the tech industry.|Nom féminin|industrie
infant|They adore their infant niece.|Nom masculin|nourrisson
infection|They took antibiotics to treat the infection.|Nom féminin|infection
inflation|They studied the impact of inflation on the economy.|Nom féminin|inflation
influence|They had a significant influence on the decision.|Nom féminin|influence
inform|They inform their clients about the latest updates.|Verbe|informer
information|They shared valuable information with the team.|Nom féminin|information
ingredient|They listed every ingredient in the recipe.|Nom masculin|ingrédient
initial|They made an initial attempt to solve the puzzle.|Adjectif|initial
initially|They were initially unsure about their decision.|Adverbe|au début
initiative|They took the initiative to organize the event.|Nom féminin|initiative
injury|They recovered from the sports injury.|Nom féminin|blessure
inner|Their inner thoughts were full of creativity.|Adjectif|intérieur
innocent|They believe that everyone is innocent until proven guilty.|Adjectif|innocent
inquiry|They sent an inquiry about the job opening.|Nom féminin|enquête
inside|They were excited to see what's inside the box.|Préposition|à l'intérieur
insight|They gained valuable insight into the market trends.|Nom masculin|perspicacité
patch|They sewed a patch onto their jeans.|Nom masculin|pièce
PC|They use a PC for their work.|Nom masculin|ordinateur personnel
peer|They respect their peer's opinion.|Nom masculin|pair
perceive|They perceive the world through their senses.|Verbe|percevoir
percentage|A small percentage of people agreed.|Nom féminin|pourcentage
perception|Their perception of the situation was accurate.|Nom féminin|perception
personnel|The personnel in the company is highly skilled.|Nom masculin|personnel
